id,category_id,property_name,filterable,sort,,
1,1,Authors,0,1,,
2,1,Cover Type,0,2,,
3,1,Publisher,0,3,,
4,1,Publication Date,0,4,,
5,1,Pages,0,5,,
6,1,Language,0,6,,
7,1,Category,0,7,,
8,2,Disc Type,0,1,,
9,2,Director,0,2,,
10,2,Runtime,0,3,,
11,2,Studio,0,4,,
12,2,Release Date,0,5,,
13,2,Language,0,6,,
14,2,Disc Category,0,7,,
15,2,Category,0,8,,
16,3,Artists,0,1,,
17,3,Record Label,0,2,,
18,3,Tracklist,0,3,,
19,3,Release Date,0,4,,
20,3,Category,0,5,,
21,4,Artists,0,1,,
22,4,Record Label,0,2,,
23,4,Tracklist,0,3,,
24,4,Release Date,0,4,,
25,4,Category,0,5,,
26,5,Content,0,1,,
27,5,Authors,0,2,,
28,5,Cover Type,0,3,,
29,5,Publisher,0,4,,
30,5,Publication Date,0,5,,
31,5,Pages,0,6,,
32,5,Language,0,7,,
33,5,Category,0,8,,
34,6,Content,0,1,,
35,6,Director,0,2,,
36,6,Runtime,0,3,,
37,6,Studio,0,4,,
38,6,Language,0,5,,
39,6,Subtitles,0,6,,
40,6,Release Date,0,7,,
41,6,Category,0,8,,
42,7,Content,0,1,,
43,7,Artists,0,2,,
44,7,Record Label,0,3,,
45,7,Tracklist,0,4,,
46,7,Release Date,0,5,,
47,7,Category,0,6,,
